condition,label
"Characterization and significance of sulfonylurea receptors. This study describes and characterizes a putative sulfonylurea receptor. The radioligand used was [3H]glipizide (9 Ci/mmol). The beta-cell plasma membranes were derived from a transplantable rat insulinoma generated by subcutaneous injection of RINm5F cells and purified by ultracentrifugation on a 15-55% sucrose gradient. Specific binding of [3H]glipizide to purified beta-cell plasma membranes was determined to be maximal at temperatures of 4-23 degrees C, pH 7.3, and an incubation of 2 h. Scatchard analysis indicated a single binding site with Kd = 7 nM and sulfonylurea binding of 0.93 pmol/mg membrane protein. Displacement of [3H]glipizide from the purified beta-cell plasma membranes by various sulfonylureas and their analogues correlated well with their known hypoglycemic and insulin-releasing activities. Various agents, including nutrients, agents affecting Ca2+ flux, gastrointestinal hormones, and pancreatic hormones, had no effect on [3H]glipizide binding to the beta-cell plasma membranes. Putative sulfonylurea receptors on beta-cell and brain cell plasma membranes have been reported by several groups of investigators. Sulfonylurea binding to the beta-cell is hypothesized to close an ATP-sensitive K+ channel, which leads to depolarization of the membrane and activation of a voltage-dependent Ca2+ channel. ",neoplasms
"Dimerization of mammalian progesterone receptors occurs in the absence of DNA and is related to the release of the 90-kDa heat shock protein. In this study we have demonstrated that dimerization of mammalian progesterone receptors (PR) occurs in the absence of DNA. A specific immune coisolation assay was performed on extracts of T-47D human breast cancer cells with a monoclonal antibody specific for the full-length B form of progesterone receptor (PR-B). This resulted in coisolation of significant amounts of truncated form-A receptors (PR-A), indicating the presence of stable PR-A.PR-B dimers in solution. A positive correlation was observed between the ability of different receptor forms to oligomerize in solution and their ability to bind to specific DNA sequences. The ability to form stable PR-A.PR-B oligomers in the absence of DNA was also found to correlate with release of 90-kDa heat shock protein (hsp90) from the unactivated PR complex. These results support the hypothesis that dimerization in the absence of DNA is an important mechanism controlling receptor DNA-binding function and that hsp90 release may be a key step regulating dimerization. This suggests that hsp90 may function to repress DNA-binding activity indirectly by blocking receptor dimerization. ",neoplasms
"Anti-CD33 monoclonal antibody and etoposide/cytosine arabinoside combinations for the ex vivo purification of bone marrow in acute nonlymphocytic leukemia. Pharmacologic and immunologic methods of ex-vivo bone marrow (BM) purging for acute nonlymphocytic leukemia (ANLL) were combined to augment the effect of either method alone. Etoposide (VP16; 20 to 30 micrograms/mL) with or without cytosine arabinoside (Ara C; 10 mg/mL) was used in tandem with the anti-CD33 monoclonal antibody (MoAb), MY9, chosen because CD33 is found on the stem cell pool in the majority of patients with ANLL. The agents were tested singly or sequentially, with a 1-hour incubation of the drugs preceding complement-mediated lysis using MY9. VP16 combined with Ara C killed up to 3.9 +/- 0.3 and 5.11 +/- 0.4 logs of the human ANLL cell lines HL60 and K562 at drug concentrations that killed only 1.2 +/- 0.1 logs of normal committed granulocyte/macrophage stem cells (CFU-GM). Adding a single exposure of the MY9 and complement (C') to the drug-treated cells, greater than 5.4 logs of HL60 were killed. Similar to other pharmacologic agents, no differential kill for clonagenic leukemic cells (colony-forming unit-leukemia; CFU-L) from patients with ANLL was seen for drug only treated blasts versus normal CFU-granulocyte-macrophage (CFU-GM), with less than 1 log CFU-L kill at drug concentrations that spared 1 log of CFU-GM. Similarly, only 1.1 +/- 0.3 logs of ANLL CFU-L were eliminated using MY9 and C'. However, with the sequential VP16/Ara C----MY9 + C' treatment, synergy was demonstrated and 2.6 +/- 0.3 logs of CFU-L were eliminated. Because CD33 is also found on the normal CFU-GM pool, two-stage long-term BM cultures were performed to determine pluripotent stem cell elimination by the drug/MoAb purging combination. No difference of CFU-GM or BFU-E production at 4 to 6 weeks of culture for VP16/Ara C, MY9 + C', or VP16/AraC----My9 + C' treated cells was seen compared with untreated controls indicating sparing of early progenitor cells. Sequential ex vivo treatment of human ANLL CFU-L with VP16/Ara C followed by complement-mediated lysis using MY9 synergistically kills CFU-L while sparing early normal hematopoietic progenitor cells, and thus may be a more effective way to purge BM than either alone. ",neoplasms
"Extracorporeal shock wave lithotripsy of gallstones: results and 6-month follow-up in 141 patients. A study of biliary shock wave lithotripsy of gallstones sponsored by Dornier Medical Systems, Munich, began in the United States in May 1988 to evaluate the efficacy and safety of extracorporeal shock wave lithotripsy (ESWL) and the need for adjunctive therapy with ursodeoxycholic acid (UDCA). One hundred forty-one symptomatic patients with one to three gallstones 5-30 mm in diameter were randomized to treatment. One week before ESWL, patients were given either UDCA or placebo. This treatment was continued for 6 months. All patients underwent follow-up at predetermined intervals. According to the protocol, re-treatment for fragments larger than 5 mm in diameter could be performed only at 6 weeks; 26 (18%) of the 141 patients were retreated. At 6 months, the stone-free rates for single stones were as follows: patients with noncalcified stones receiving UDCA, 29%; patients with noncalcified stones receiving placebo, 24%; and patients with partially calcified stones receiving either UDCA or placebo, 6%. No significant difference was noted between the UDCA and placebo groups. At 6 months, the stone-free rates in patients with single, noncalcified stones 20 mm or less in diameter were 40% (UDCA) and 32% (placebo), which is superior to rates for those with solitary, noncalcified gallstones 21-30 mm in diameter and those with two or three stones. ",digestive system diseases
"Laparoscopic cholecystectomy Laparoscopic cholecystectomy is a new endoscopic technique that has diffused throughout the surgical community with great rapidity. Although the DATTA panelists considered the procedure appropriate with respect to both its safety and effectiveness, recognition was made that there are no comparative trials of this technique vs open cholecystectomy and virtually no literature on complication rates. The Society of American Gastrointestinal Endoscopic Surgeons has developed minimal credentialing criteria for determining competence in laparoscopic surgery. This includes completion of an approved residency training in general surgery, training in laparoscopic technique either by a surgeon experienced in this procedure or by completion of an approved course in the technique requiring hands-on laboratory practice, and observation or proctoring of an actual surgical procedure. Many of the DATTA panelists (35 of 40 [87.5%]) reiterated the importance of requiring that the procedure be performed first with animals and that subsequent laparoscopic procedures on patients be done under the supervision of an expert in laparoscopic cholecystectomy. ",digestive system diseases
"Reactivation of hepatitis B virus replication in patients receiving cytotoxic therapy. Report of a prospective study. One hundred Chinese patients who received induction cytotoxic therapy for malignant lymphoma were prospectively studied to determine the incidence, morbidity, mortality, and predisposing factors for reactivation of hepatitis B virus replication during cytotoxic therapy. In 18 (67%) hepatitis B surface antigen-positive and 10 (14%) hepatitis B surface antigen-negative patients, hepatitis developed during cytotoxic therapy (P less than 0.0001). Hepatitis could be attributed to exacerbation or reactivation of chronic hepatitis B in 13 (72%) hepatitis B surface antigen-positive patients but in only 2 (20%) hepatitis B surface antigen-negative patients (P less than 0.0001). Sudden increase or reactivation of hepatitis B virus replication gave rise to icteric hepatitis, nonfatal hepatic failure, and death in 22.3%, 3.7%, and 3.7% of patients who were positive for hepatitis B surface antigen; in 2%, 2%, and 0% of those positive for hepatitis B antibodies; and in none of those who were seronegative. Among the hepatitis B surface antigen-positive patients, male sex was the only factor that was associated with an increased risk of reactivation of hepatitis B virus replication. We recommend that hepatitis B surface antigen-positive patients with malignancies receiving cytotoxic therapy be closely monitored. ",digestive system diseases
"Dietary fat and risk of breast cancer. The relationship between dietary fat and subsequent risk of breast cancer was studied in 3988 initially cancer-free Finnish women aged 20-69 y. During a follow-up period of 20 y, 54 breast-cancer cases were diagnosed. Risk of breast cancer was significantly inversely related to energy intake and nonsignificantly inversely related to absolute fat intake. A positive association between energy-adjusted total fat intake and occurrence of breast cancer was also observed. The relative risk in the highest tertile as compared with the lowest tertile was 1.7 (95% confidence limits 0.6-4.8). The corresponding relative risks were 1.4 (0.5-3.7) for saturated fatty acids, 2.7 (1.0-7.4) for monounsaturated fatty acids, 1.2 (0.6-2.8) for polyunsaturated fatty acids, and 2.2 (1.0-5.0) for cholesterol intake. Adjustment for different potential confounding factors did not alter the results. The present data suggest that breast cancer is associated inversely with energy intake and weakly positively with energy-adjusted fat intake. ",neoplasms
"Prostaglandins, the kidney, and hypertension Prostaglandins are part of the family of oxygenated metabolites of arachidonic acid known collectively as eicosanoids. While they are formed, act, and are inactivated locally and rarely circulate in plasma, they can affect blood flow in some tissues and so might contribute to the control of peripheral vascular resistance. Few studies have shown any derangement of total body prostaglandin synthesis or metabolism in hypertension, but increased renal synthesis of one prostanoid, thromboxane A2, has been noted in spontaneously hypertensive rats and some hypertensive humans. This potent vasoconstrictor may account for the increased renal vascular resistance and suppressed plasma renin activity seen in many patients with hypertension. Increased renal vascular resistance could increase the blood pressure directly as a component of total peripheral resistance or indirectly by increasing glomerular filtration fraction and tubular sodium reabsorption. Specific thromboxane synthesis inhibitors not only decrease renal thromboxane production but also increase renal vasodilator prostaglandin synthesis when prostaglandin synthesis is stimulated. This redirection of renal prostaglandin synthesis toward prostacyclin might be of benefit in correcting a fundamental renal defect in patients with hypertension. ",cardiovascular diseases
"Primary undifferentiated small cell carcinoma of the esophagus: clinicopathological and flow cytometric evaluation of eight cases. We present a clinicopathological and flow cytometric evaluation of eight primary small cell carcinomas of the esophagus representing 1.5% of all esophageal malignancies diagnosed during a 22-year period (1965-1987) in the Tampere University Central Hospital. The mean age of the patients (four male and four female) was 67 years (range 55-75 years). Five cases had distant metastases at the time of diagnosis. Three patients were treated by esophageal resection, one by laser vaporisation, and four by chemotherapy. The median survival time was 4 months (range 9 days to 8 months). A complete local response to chemotherapy in serial esophagogramms was detected in one patient. All four patients given chemotherapy survived longer than those treated with esophageal resection only. Four (67%) of the six carcinomas analyzed by DNA flow cytometry contained DNA-aneuploid stemlines. The median S-phase fraction of these small cell carcinomas was high (16.3%), reflecting rapid cell proliferation rate, which may be related to their responsiveness to chemotherapy. ",neoplasms
"Screening 1140 fifth graders for hypercholesterolemia: family history inadequate to predict results Cholesterol screening was performed on 1140 fifth-grade students in Scottsdale, AZ, as part of a school-affiliated, health-education program. The goals were to determine whether family history of heart disease or high cholesterol can predict which children have high cholesterol levels and to examine the feasibility of screening large numbers of elementary school students. Among the children studied, the mean cholesterol level was 168.3 mg/dL (4.35 mmol/L), and 13 percent had cholesterol levels above 200 mg/dL (5.20 mmol/L). Fifty-four percent had a family member with high cholesterol or a heart attack before age 60 years, but 36 percent of the students with cholesterol levels greater than 200 mg/dL (5.20 mmol/L) had a negative family history. Family history was neither sensitive nor specific as a predictor of elevated cholesterol levels (sensitivity 0.64, specificity 0.47, and positive predictive value 0.16 for predicting cholesterol levels greater than 200 mg/dL [5.20 mmol/L]). Large numbers of children were screened safely and efficiently with good student and parental cooperation. Results of this study do not support the current recommendations to screen children for hypercholesterolemia based upon their family histories. ",cardiovascular diseases
"Clinical spectrum of symptomatic external iliac fibromuscular dysplasia. External iliac fibromuscular dysplasia is a rare and usually asymptomatic disorder. We report eight symptomatic patients seen over a 15-year period and review pathophysiologic mechanisms accounting for the three following distinct lower extremity ischemic sequelae: (1) Emboli--episodic focal digital ischemia (blue toe) was seen in three patients. Resection and primary anastomosis of focal iliac ulcerative fibromuscular dysplasia (one patient) or resection and replacement (two patients) removed the embolic source and relieved the symptoms. (2) Chronic ischemia--gradual onset of full leg claudication in four patients was treated by operative graduated intraluminal dilation in three patients and prosthetic bypass in one. Arteriography subsequently showed a remodeled lumen in the three patients who underwent dilation. (3) Dissection--acute onset leg ischemia resulted from presumed dissection of the external iliac segment. After 4 months of conservative management of antiplatelet agents and exercise, symptoms resolved completely, and arteriogram showed spontaneous restoration of a normal lumen in the dissected segment. The clinical presentation of fibromuscular dysplasia may mimic other arterial processes such as atherosclerosis. Diagnosis is made only by arteriography with specific magnification views of the external iliac arteries and careful surveillance of the renal arteries. Appropriate treatment should be tailored to the clinical presenting symptom. For microembolic disease, resection and replacement are required. For chronic ischemia, intraluminal dilation is generally sufficient and durable and has proved to be a simpler and acceptable alternative to replacement or bypass. In acute dissection, surgical intervention may be deferred if the limb is viable to allow spontaneous healing and remodeling. Persistent symptoms may be the only indication for intervention in this ischemic manifestation of external iliac fibromuscular dysplasia. ",cardiovascular diseases
"Percutaneous mitral valvuloplasty in surgical high risk patients. Among 126 consecutive patients undergoing percutaneous mitral valvuloplasty, 34 were judged to be at high risk for surgery on the basis of age greater than 70 years (n = 13), New York Heart Association functional class IV (n = 11), ejection fraction less than or equal to 35% (n = 3), severe pulmonary hypertension (n = 7), need for associated coronary bypass (n = 4) or additional valve surgery (n = 20) or severe pulmonary disease (n = 3). Baseline features of the high risk group were substantially worse than those of the other patients: age (65 +/- 11 versus 49 +/- 12 years; p = 0.0001) and echocardiographic score (9.4 +/- 1.8 versus 8.2 +/- 1.5; p = 0.005) were higher, whereas cardiac output (2.9 +/- 0.9 versus 4.1 +/- 1.2 liters/min; p = 0.0001) and mitral valve area (0.9 +/- 0.4 versus 1.1 +/- 0.3 mm2; p = 0.002) were lower. Three high risk patients experienced technical failures and three others had major complications. Among the remaining 28 patients, 18 (65%) had a complete hemodynamic success, 4 (14%) an incomplete success and 6 (21%) hemodynamic failure. Stepwise logistic regression analysis retained echocardiographic score as the only factor independently predictive of success. The percent increase in mitral valve area also correlated with echocardiographic score (r = 0.51, p less than 0.01). ",cardiovascular diseases
"Proximal esophageal pH-metry in patients with 'reflux laryngitis'. Fiberoptic laryngoscopic examinations were performed on 40 patients with gastroesophageal reflux disease, 25 of whom had persistent laryngeal symptoms (dysphonia, cough, globus sensation, frequent throat clearing, or sore throat) and 15 without laryngeal symptoms who served as disease controls. Ten patients with laryngeal symptoms but none of the controls had laryngoscopic findings consistent with reflux laryngitis. Dual-site ambulatory pH recordings were obtained with the pH electrodes spaced 15 cm apart and with the proximal sensor positioned just distal to the upper esophageal sphincter. Patients in the three groups (disease controls: group 1; patients with symptoms but without laryngoscopic findings: group 2; and patients with both laryngeal symptoms and findings: group 3) were comparable in terms of age, smoking habit, the presence of esophagitis, and distal esophageal acid exposure. Proximal esophageal acid exposure was, however, significantly increased in groups 2 and 3, and nocturnal proximal esophageal acidification occurred in over half of these patients but in none of the group 1 patients. We conclude that the subset of reflux patients who experience laryngeal symptoms show significantly more proximal esophageal acid exposure (especially nocturnally) and often have laryngoscopic findings of posterior laryngitis not observed in control reflux patients. ",digestive system diseases
"Denervation in hemiplegic muscles. This study examined the frequency of denervation activity in hemiplegic muscles in relation to the size and location of the central lesion. We studied 20 patients, 14 with major unilateral cerebral infarctions in the middle cerebral or internal carotid territories; four with a single lacune in the pons, internal capsule, or thalamus; and two with precentral infarcts. Using somatosensory evoked potentials, motor conduction studies, and assessments of conduction across the plexus and roots, we detected no conduction abnormalities on the affected side. Fibrillation was common in both groups, especially in distal and intermediate muscles. The distribution of the fibrillation and the normal conduction studies suggested that trauma of peripheral nerves was not a factor. Although the normal conduction studies and pattern of fibrillation activity do not exclude peripheral nerve trauma as the cause of the fibrillation, we suggest that transsynaptic degeneration is a reasonable alternative explanation. ",nervous system diseases
"Papillary adenocarcinoma of the middle ear. A case of papillary adenocarcinoma of the middle ear is presented. The patient had an unusually short history of otalgia, aural discharge and facial palsy, and, at presentation the tumour was too large for surgical resection to be a feasible option. The management of this rare tumour is discussed and the relevant literature reviewed. ",neoplasms
"Effects of acute alcohol intake on tolerance to hypotension. The specific aim of this research was to test the hypothesis that intoxication with alcohol results in poor tolerance to hemorrhage. This was evaluated on the basis of blood pressure, cardiac output respiratory rate, blood flow to organs, and survival for 4 hr after hemorrhage. Four groups of six swine per group were used (control, intoxicated, hemorrhage, and intoxicated-hemorrhage). The results revealed that blood alcohol concentrations near 0.1% greatly reduced tolerance to hemorrhage. Intoxicated animals subjected to hemorrhage were unable to maintain an adequate cardiac output, blood pressure, or respiratory rate to sustain life. Pigs tolerated higher blood alcohol concentrations, up to 0.35%, when not exposed to hemorrhage. Also, unintoxicated pigs were able to compensate for severe hemorrhage. Only one of the six pigs in the intoxicated-hemorrhage group survived for 4 hr after hemorrhage. In conclusion the body's ability to compensate and recover from hemorrhage was greatly reduced during intoxication. It is logical to assume that the ability to overcome numerous other stressors may also be reduced during intoxication. ",general pathological conditions
"Endometriosis. An important condition in clinical gastroenterology. Endometriosis, a condition defined by the presence of ectopic endometrium, is a disorder of increasing incidence and a significant cause of gastroenterologic distress in young women. Although clinical manifestations vary considerably depending upon the anatomic extent of disease, characteristic abdominal complaints and typical physical findings continue to be associated with misdiagnosis and delayed recognition of gastrointestinal involvement. The authors of this paper review the medical literature concerning endometriosis of the digestive tract--emphasizing modes of presentation, risk factors, diagnostic testing, complications, and therapy. Greater familiarity with the disease and heightened awareness of its sequellae are needed and prerequisite to improved medical management. ",digestive system diseases
"Long-term psychosocial adjustment to coronary artery disease. Personality hardiness, which has been conceptualized as a potential internal resource facilitating stress resistance, was examined in conjunction with Type A behavior, perceived family cohesion and adaptability, and sociodemographic and medical variables to assess the independent differential correlations of these factors with long-term psychosocial adjustment to coronary artery disease. One hundred twenty-eight patients completed the third generation Hardiness Scale, together with questionnaires measuring Type A behavior, perceived family cohesion and adaptability, and psychosocial adjustment to illness. The results showed that personality hardiness was the most salient correlate of psychosocial adjustment. High hardiness scores were associated with good adjustment to the various life domains. Angina severity accounted for the variance in social domains, but not the psychologic distress domain. Type A behavior, both dimensions of perceived family dynamics, and the sociodemographic variables did not have a significant role in explaining the variance in psychosocial adjustment. We conclude that personality hardiness could serve as a valid indicator of long-term psychosocial adjustment in patients with coronary artery disease. ",cardiovascular diseases
Native valve endocarditis due to Pseudallescheria boydii in a patient with AIDS: case report and review. A 53-year-old man with AIDS developed mitral valve endocarditis due to infection with the fungus Pseudallescheria boydii. A limited number of cases of prosthetic valve endocarditis caused by this organism have been described. We report a unique case of pseudallescheria infection of a native valve and describe this disease in a patient with AIDS. ,cardiovascular diseases
"Depression of serum melatonin in patients with primary breast cancer is not due to an increased peripheral metabolism. Serum melatonin and its main metabolic product 6-sulfatoxymelatonin were determined in 17 patients with breast cancer (BC) with either a fresh primary tumor (nine) or a secondary tumor (eight) as well as in four patients with untreated benign breast disease (controls). Circadian rhythms were detected in all groups with acrophases around 2 AM for melatonin and around 3 AM for 6-sulfatoxymelatonin. The nocturnal melatonin and 6-sulfatoxymelatonin concentrations were significantly depressed in the group of patients with primary breast cancer compared with controls (P less than 0.01, P less than 0.025). The circadian amplitudes of melatonin and 6-sulfatoxymelatonin were also depressed by 81% (P less than 0.01) and 63% (P less than 0.01). In contrast, patients with secondary BC had nocturnal melatonin and 6-sulfatoxymelatonin concentrations and amplitudes similar to controls. These results demonstrate that the depression of circulating melatonin in patients with primary BC is not due to an enhanced degradation to 6-sulfatoxymelatonin in the liver but must be due to a reduced activity of the pineal gland. ",neoplasms
"Absorbable mesh splenorrhaphy for severe splenic injuries: functional studies in an animal model and an additional patient series. Polyglycolic acid mesh has been introduced as a method of controlling hemorrhage in severely damaged spleens. This study examines the effect of splenic wrapping on the immune function of the spleen, and also on its ability to control splenic bleeding in trauma patients. Thirty purebred beagle dogs were divided into three groups and subjected to sham operation (Group 1), splenectomy (Group 2), and splenic wrap (Group 3). Immunologic studies showed no difference between the wrapped group (Group 3) and those with their spleens intact (Group 1) in the induction of specific antibody-producing lymphocytes in splenic tissue after the injection of attenuated Pneumococci. All splenic injuries treated at Cook County Hospital between January 1985 and May 1988 were retrospectively analyzed. Of 60 patients with splenic injuries, 14 underwent mesh splenorrhaphy without mortality or serious complications. This study demonstrates that the immune function of spleen is preserved following mesh splenorrhapy, and that this technique can be used in a clinical setting with safe and efficacious results. ",general pathological conditions
